company_name,cik,pre_ipo_patent_count
Myovant Sciences Ltd.,0001679082,0
"Satsuma Pharmaceuticals, Inc.",0001692830,0
"bluebird bio, Inc.",0001293971,0
"Menlo Therapeutics, Inc.",0001566044,8
"Oyster Point Pharma, Inc.",0001720725,9
"Kaleido Biosciences, Inc.",0001751299,5
Applied Therapeutics Inc.,0001697532,0
"Dimension Therapeutics, Inc.",0001592288,0
"Homology Medicines, Inc.",0001661998,0
"Akero Therapeutics, Inc.",0001744659,0
"Allena Pharmaceuticals, Inc.",0001624658,5
"Audentes Therapeutics, Inc.",0001628738,0
"IASO BioMed, Inc.",0001662907,0
"Insys Therapeutics, Inc.",0001516479,5
"Karuna Therapeutics, Inc.",0001771917,0
"Magenta Therapeutics, Inc.",0001690585,5
"Novan, Inc.",0001467154,20
PDS Biotechnology Corp,0001472091,4
"Dipexium Pharmaceuticals, LLC",0001497504,1
"CEMPRA, INC.",0001461993,10
"TESARO, Inc.",0001491576,0
Pfenex Inc.,0001478121,19
CONTRAFECT Corp,0001478069,4
"HEAT BIOLOGICS, INC.",0001476963,0
"Calithera Biosciences, Inc.",0001496671,3
"Clovis Oncology, Inc.",0001466301,0
"OptiNose, Inc.",0001494650,68
"Revance Therapeutics, Inc.",0001479290,18
"Omthera Pharmaceuticals, Inc.",0001477598,2
"Otonomy, Inc.",0001493566,24
"Arsanis, Inc.",0001501697,0
"IGM Biosciences, Inc.",0001496323,13
"Eleven Biotherapeutics, Inc.",0001485003,1
"Ra Pharmaceuticals, Inc.",0001481512,5
"Unity Biotechnology, Inc.",0001463361,19
"Receptos, Inc.",0001463729,6
"Annovis Bio, Inc.",0001477845,1
"Cancer Prevention Pharmaceuticals, Inc.",0001471002,0
"Neos Therapeutics, Inc.",0001467652,12
"ZS Pharma, Inc.",0001459266,6
PORTOLA PHARMACEUTICALS INC,0001269021,56
DiaMedica Therapeutics Inc.,0001401040,0
KOLLTAN PHARMACEUTICALS INC,0001442835,2
ACCELERON PHARMA INC,0001280600,63
"Novus Therapeutics, Inc.",0001404281,0
"CoLucid Pharmaceuticals, Inc.",0001348649,4
MERRIMACK PHARMACEUTICALS INC,0001274792,18
"AQUINOX PHARMACEUTICALS, INC",0001404644,8
Celladon Corp,0001305253,3
Immune Design Corp.,0001437786,8
"ADURO BIOTECH, INC.",0001435049,21
Regado Biosciences Inc,0001311596,8
"PROTEOSTASIS THERAPEUTICS, INC.",0001445283,9
EYEGATE PHARMACEUTICALS INC,0001372514,3
SELECTA BIOSCIENCES INC,0001453687,26
"Mersana Therapeutics, Inc.",0001442836,20
PhaseBio Pharmaceuticals Inc,0001169245,10
"Visterra, Inc.",0001426375,6
"Athenex, Inc.",0001300699,6
TREVENA INC,0001429560,6
"Auspex Pharmaceuticals, Inc.",0001454189,51
"Rib-X Pharmaceuticals, Inc.",0001164994,17
CATABASIS PHARMACEUTICALS INC,0001454789,26
Acucela Inc,0001400482,21
GLYCOMIMETICS INC,0001253689,22
"Carbylan Therapeutics, Inc.",0001348911,5
Dicerna Pharmaceuticals Inc,0001399529,16
"KEMPHARM, INC",0001434647,17
TETRALOGIC PHARMACEUTICALS CORP,0001361248,15
GLOBEIMMUNE INC,0001245104,35
Cerulean Pharma Inc.,0001401914,22
STEMLINE THERAPEUTICS INC,0001264587,1
HYPERION THERAPEUTICS INC,0001386858,2
"BIND Therapeutics, Inc",0001385228,0
"PHASERX, INC.",0001429386,11
FIVE PRIME THERAPEUTICS INC,0001175505,27
Conatus Pharmaceuticals Inc,0001383701,0
PROTEON THERAPEUTICS INC,0001359931,12
Virobay Inc,0001374261,22
THAR PHARMACEUTICALS INC,0001428369,16
aTYR PHARMA INC,0001339970,62
"Conkwest, Inc.",0001326110,1
VITAL THERAPIES INC,0001280776,0
INOTEK PHARMACEUTICALS CORP,0001281895,39
KYTHERA BIOPHARMACEUTICALS INC,0001436304,11
"CONCERT PHARMACEUTICALS, INC.",0001367920,89
AERIE PHARMACEUTICALS INC,0001337553,17
"Tobira Therapeutics, Inc.",0001409690,5
AILERON THERAPEUTICS INC,0001420565,39
Tocagen Inc,0001419041,10
"GENOCEA BIOSCIENCES, INC.",0001457612,9
TETRAPHASE PHARMACEUTICALS INC,0001373707,8
AMBRX INC,0001264647,82
"EAGLE PHARMACEUTICALS, INC.",0000827871,0
"NephroGenex, Inc.",0001338095,2
NGM BIOPHARMACEUTICALS INC,0001426332,50
"CHIASMA, INC",0001339469,6
"Vitae Pharmaceuticals, Inc",0001157602,888
"Onconova Therapeutics, Inc.",0001130598,17
CHIMERIX INC,0001117480,12
Achaogen Inc,0001301501,15
Evoke Pharma Inc,0001403708,1
PARATEK PHARMACEUTICALS INC,0001037643,58
CONSTELLATION PHARMACEUTICALS INC,0001434418,59
AGILE THERAPEUTICS INC,0001261249,13
"Cara Therapeutics, Inc.",0001346830,22
Ophthotech Corp.,0001410939,4
Relypsa Inc,0001416792,25
ANTERIOS INC,0001390085,4
ProNAi Therapeutics Inc,0001290149,7
ALDER BIOPHARMACEUTICALS INC,0001423824,4
"BELLICUM PHARMACEUTICALS, INC",0001358403,4
MARINUS PHARMACEUTICALS INC,0001267813,10
OncoMed Pharmaceuticals Inc,0001302573,49
APPLIED GENETIC TECHNOLOGIES CORP,0001273636,4
Adamas Pharmaceuticals Inc,0001328143,19
PLX PHARMA INC.,0001291520,2
Flexion Therapeutics Inc,0001419600,1
"ZAFGEN, INC.",0001374690,30
