cik,company_name,ticker,ipo_date,ipo_year,founding_year,years_to_ipo,total_pre_ipo_capital_m,num_rounds_detected,capital_efficiency_m,pre_ipo_trial_count,pre_ipo_max_phase_rank,pre_ipo_conditions_targeted,pipeline_concentration,pre_ipo_had_terminated_or_withdrawn,pre_ipo_patent_count,ip_density,pubmed_pre_ipo_count,bucket,exit_reason,exit_subtype,sic,sic_description
0001714798,Prevail Therapeutics Inc.,,2019-06-20,,,,125.0,2,,0,,0,,False,0,,24,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001633070,Axcella Health Inc.,,2019-05-09,,,,70.3,5,,2,-1.0,2,1.0,False,15,7.5,0,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001621443,"Zynerba Pharmaceuticals, Inc.",,2015-08-05,,,,,0,,0,,0,,False,3,inf,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001717452,"Odonate Therapeutics, LLC",,2017-12-08,,,,,0,,0,,0,,False,1,inf,0,deregistered_or_delisted,likely_failure_delisted,,2834.0,Pharmaceutical Preparations
0001656328,"Sienna Biopharmaceuticals, Inc.",,2017-07-27,,,,40.5,1,,0,,0,,False,13,inf,0,deregistered_or_delisted,bankruptcy,,2834.0,Pharmaceutical Preparations
0001650648,4D Molecular Therapeutics Inc,,2020-12-14,,,,90.0,1,,4,2.0,3,1.33,True,1,0.25,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001532346,"Atreca, Inc.",,2019-06-20,,,,160.0,2,,0,,0,,False,6,inf,19,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001651308,"BeiGene, Ltd.",,2020-07-13,,,,,0,,32,3.0,40,0.8,False,29,0.906,79,actively_filing,,,2834.0,Pharmaceutical Preparations
0001566373,"Spring Bank Pharmaceuticals, Inc.",,2016-05-06,,,,,0,,0,,0,,False,0,,0,deregistered_or_delisted,failure,reverse_merger,2834.0,Pharmaceutical Preparations
0001657598,"Adgero Biopharmaceuticals Holdings, Inc.",,2017-02-14,,,,,0,,0,,0,,False,0,,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001533040,Phio Pharmaceuticals Corp.,,2012-04-30,,,,28.2,1,,0,,0,,False,0,,1,actively_filing,,,2834.0,Pharmaceutical Preparations
0001537917,"TYME TECHNOLOGIES, INC.",,2012-12-31,,,,,0,,0,,0,,False,0,,1,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001773427,"SpringWorks Therapeutics, Inc.",,2019-09-13,,,,139.7,1,,1,3.0,2,0.5,False,0,0.0,0,deregistered_or_delisted,acquisition,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001740547,Urovant Sciences Ltd.,,2018-09-27,,,,,0,,5,3.0,2,2.5,True,0,0.0,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001649989,"Outlook Therapeutics, Inc.",,2016-05-13,,,,21.7,1,,0,,0,,False,2,inf,2096,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001641908,"SANCILIO PHARMACEUTICALS COMPANY, INC.",,2015-08-31,,,,20.0,2,,0,,0,,False,0,,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001582554,"Matinas BioPharma Holdings, Inc.",,2014-02-13,,,,13.6,1,,0,,0,,False,2,inf,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001772028,Scopus Biopharma Inc.,,2022-01-20,,,,,0,,0,,0,,False,0,,0,deregistered_or_delisted,acquisition,,2834.0,Pharmaceutical Preparations
0001589150,Regen BioPharma Inc,,2014-03-19,,,,,0,,0,,0,,False,1,inf,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001541157,Celsus Therapeutics Plc.,,2013-02-06,,,,,0,,0,,0,,False,0,,2,actively_filing,,,2834.0,Pharmaceutical Preparations
0001739174,BiomX Inc.,,2018-12-14,,,,,0,,0,,0,,False,0,,0,actively_filing,,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001684144,Zomedica Pharmaceuticals Corp.,,2017-11-21,,,,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001600132,"Bellerophon Therapeutics, Inc.",,2015-02-13,,,,,0,,0,,0,,False,0,,2,deregistered_or_delisted,likely_failure_delisted,,2834.0,Pharmaceutical Preparations
0001557142,"Kadmon Holdings, Inc.",,2016-07-27,,,,,0,,15,4.0,16,0.94,True,11,0.733,23,stalled_filing,acquisition,,2834.0,Pharmaceutical Preparations
0001718644,"Zander Therapeutics, Inc",,2018-05-30,,,,,0,,0,,0,,False,0,,103,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001648419,Aralez Pharmaceuticals Ltd,,2015-11-06,,,,,0,,0,,0,,False,1,inf,0,stalled_filing,unclear,,2834.0,Pharmaceutical Preparations
0001723128,"Amneal Pharmaceuticals, Inc.",,2018-02-12,,,,,0,,10,3.0,14,0.71,False,10,1.0,16,actively_filing,,,2834.0,Pharmaceutical Preparations
0001516551,"Nemus Bioscience, Inc.",,2013-06-13,,,,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001553643,"RELMADA THERAPEUTICS, INC.",,2013-05-06,,,,,0,,0,,0,,False,4,inf,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001515740,PREMIER BIOMEDICAL INC,,2011-12-19,,,,,0,,0,,0,,False,0,,0,deregistered_or_delisted,likely_failure_delisted,,2836.0,"Biological Products, (No Diagnostic Substances)"
0001569340,"Cell Source, Inc.",,2013-09-18,,,,,0,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001509745,"LEAP THERAPEUTICS, INC.",,2016-11-23,,,,,0,,6,1.0,13,0.46,False,0,0.0,15,actively_filing,,,2834.0,Pharmaceutical Preparations
0001618835,"Evofem Biosciences, Inc.",,2014-11-20,,,,13.6,3,,0,,0,,False,0,,0,actively_filing,,,2834.0,Pharmaceutical Preparations
0001580149,"NANOANTIBIOTICS, INC.",,2017-04-03,,,,,0,,0,,0,,False,0,,0,actively_filing,failure,program_discontinued,2834.0,Pharmaceutical Preparations
