cik,company_name,executive_name,title_context
0001724521,Arcus Biosciences Inc,Terry Rosen,"We are highly dependent on the services of our founders, Terry Rosen, Ph.D., who serves as our Chief Executive Officer, and Juan Jaen, Ph.D., who serves"
0001724521,Arcus Biosciences Inc,Juan Jaen,"We are highly dependent on the services of our founders, Terry Rosen, Ph.D., who serves as our Chief Executive Officer, and Juan Jaen, Ph.D., who serves"
0001724521,Arcus Biosciences Inc,Mary Margaret,"A. Bluestone, Ph.D., the CEO of the Parker Institute for Cancer Immunotherapy and the A.W. and Mary Margaret Clausen Distinguished Professor Director, Hormone Research Institute University of Californ"
0001724521,Arcus Biosciences Inc,Clausen Distinguished,"A. Bluestone, Ph.D., the CEO of the Parker Institute for Cancer Immunotherapy and the A.W. and Mary Margaret Clausen Distinguished Professor Director, Hormone Research Institute University of Californ"
0001724521,Arcus Biosciences Inc,Antoni Ribas,"A. Bluestone, Ph.D., the CEO of the Parker Institute for Cancer Immunotherapy and the A.W. and Mary Margaret Clausen Distinguished Professor Director, Hormone Research Institute University of Californ"
0001724521,Arcus Biosciences Inc,David Lacey,"Professor of Medicine of Hematology / Oncology and the Director of JCCC Tumor Immunology at UCLA; David Lacey, M.D. Ph.D., former Senior Vice President of Discovery Research at Amgen; Jonathan Yinglin"
0001724521,Arcus Biosciences Inc,Discovery Research,"Professor of Medicine of Hematology / Oncology and the Director of JCCC Tumor Immunology at UCLA; David Lacey, M.D. Ph.D., former Senior Vice President of Discovery Research at Amgen; Jonathan Yinglin"
0001724521,Arcus Biosciences Inc,Jonathan Yingling,"Professor of Medicine of Hematology / Oncology and the Director of JCCC Tumor Immunology at UCLA; David Lacey, M.D. Ph.D., former Senior Vice President of Discovery Research at Amgen; Jonathan Yinglin"
0001724521,Arcus Biosciences Inc,Oncology Discovery,"Development at Idera Pharmaceuticals and former Vice President, Oncology Discovery and Translational Research at Bristol-Myers Squibb; Ramy Ibrahim, M.D., Vice President, Clinical Development at the P"
0001724521,Arcus Biosciences Inc,Translational Research,"Development at Idera Pharmaceuticals and former Vice President, Oncology Discovery and Translational Research at Bristol-Myers Squibb; Ramy Ibrahim, M.D., Vice President, Clinical Development at the P"
0001724521,Arcus Biosciences Inc,Myers Squibb,"Development at Idera Pharmaceuticals and former Vice President, Oncology Discovery and Translational Research at Bristol-Myers Squibb; Ramy Ibrahim, M.D., Vice President, Clinical Development at the P"
0001724521,Arcus Biosciences Inc,Ramy Ibrahim,"Development at Idera Pharmaceuticals and former Vice President, Oncology Discovery and Translational Research at Bristol-Myers Squibb; Ramy Ibrahim, M.D., Vice President, Clinical Development at the P"
0001724521,Arcus Biosciences Inc,Juan Carlos,"Juan Carlos Jaen, Ph.D. is our co-founder and has served as our President since May 2015 and as a member of our"
0001724521,Arcus Biosciences Inc,Andrew Pennell,"Andrew Pennell, Ph.D. has served as our Vice President, Preclinical Development since November 2016."
0001724521,Arcus Biosciences Inc,Research Chemist,"Scientific Director at Amgen from 2004 to 2007, Senior Research Investigator at Tularik, from 1998 to 2004, and as a Research Chemist at Abbott Laboratories from 1996 to 1998. Dr.&nbsp;Powers received"
0001724521,Arcus Biosciences Inc,Amgen Research,"Director at Amgen Inc., Executive Director of Amgen Research GmbH and Director of Regional Operations at Amgen Research GmbH. Dr.&nbsp;Schindler began her career in February 1993 at Tularik, where she"
0001724521,Arcus Biosciences Inc,External Research,"Ph.D. has served as our Vice President, Business Development since January 2017. Previously, Dr.&nbsp;Sullivan worked as a Senior Director of External Research&nbsp;&amp; Development Innovation at Pfi"
0001724521,Arcus Biosciences Inc,Development Innovation,"Ph.D. has served as our Vice President, Business Development since January 2017. Previously, Dr.&nbsp;Sullivan worked as a Senior Director of External Research&nbsp;&amp; Development Innovation at Pfi"
0001724521,Arcus Biosciences Inc,New Frontier,"that, Dr.&nbsp;Sullivan worked as a Director of New Frontier Science at Takeda Pharmaceutical Company Ltd, a pharmaceutical company, from December 2012 to June 2015. Dr.&nbsp;Sullivan previously worke"
0001724521,Arcus Biosciences Inc,Nigel Walker,"Nigel Walker, Ph.D. has served as our Vice President, Protein Science since May 2016. Since November 2014, Dr.&nbsp;Walker has also served as the"
0001724521,Arcus Biosciences Inc,Molecular Consulting,"founder and principal of Molecular Consulting, LLC, a consulting company. Before his time with our company, Dr.&nbsp;Walker worked at Amgen as a Director of Research from 2004 to 2006, as a Scientific"
0001724521,Arcus Biosciences Inc,Scientific Executive,"founder and principal of Molecular Consulting, LLC, a consulting company. Before his time with our company, Dr.&nbsp;Walker worked at Amgen as a Director of Research from 2004 to 2006, as a Scientific"
0001724521,Arcus Biosciences Inc,Research Scientist,"finally as an Executive Director, Research from April 2013 to October 2014. Dr.&nbsp;Walker also worked as a Research Scientist at BASF AG from 1984 to 1998 and as the Director of Structural Biology a"
0001724521,Arcus Biosciences Inc,The Trade,"Pharma Ltd., and a technology company, The Trade Desk, Inc. Ms.&nbsp;Falberg previously served on the boards of directors of Axovant Sciences, Ltd., BioMarin Pharmaceutical Inc., Medivation Inc., Halo"
0001724521,Arcus Biosciences Inc,The Rosen,"Consists of 9,000,000 shares of Series A preferred stock purchased by The Rosen 1996 Family Trust Dated June&nbsp;28, 1996. Dr.&nbsp;Terry Rosen, our chief executive officer and a member of our board "
0001720893,Bioxcel Therapeutics Inc,Vimal Mehta,"senior executive roles at leading pharmaceutical companies, including: our co-founder and Chief Executive Officer, Vimal Mehta, Ph.D., our Chief Scientific Officer, Frank Yocca, Ph.D., our Chief"
0001720893,Bioxcel Therapeutics Inc,Frank Yocca,"senior executive roles at leading pharmaceutical companies, including: our co-founder and Chief Executive Officer, Vimal Mehta, Ph.D., our Chief Scientific Officer, Frank Yocca, Ph.D., our Chief"
0001720893,Bioxcel Therapeutics Inc,Krishnan Nandabalan,"equity awards of BioXcel. Our Chief Executive Officer, Vimal Mehta, Ph.D. and one of our directors, Krishnan Nandabalan, Ph.D., each own approximately 43% and 43%, respectively, of outstanding BioXcel"
0001720893,Bioxcel Therapeutics Inc,Sheila Gujrathi,"advisor Dr.&nbsp;Sheila Gujrathi most recently served as Chief Medical Officer of Receptos and brings over two decades of experience in drug discovery, clinical development and commercial leadership"
0001720893,Bioxcel Therapeutics Inc,Jubilant Life,"predictive informatics company, from 2002 to 2006 and Senior Vice President, Business Development for Jubilant Life Sciences, an integrated global pharmaceutical and life sciences company, from 2006"
0001720893,Bioxcel Therapeutics Inc,Exosome Diagnostics,"Therapeutics,&nbsp;Inc. from April 2016 to May 2017. From June 2014 to May 2016, he served as the Chief Medical Officer of Exosome Diagnostics,&nbsp;Inc., a diagnostics company. From 2012 to 2014,"
0001720893,Bioxcel Therapeutics Inc,Frank D. Yocca,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Frank D. Yocca, Ph.D. has served as our Chief Scientific Officer since June 2017. From April 2015 to April 2017, he was Senior Vice"
0001720893,Bioxcel Therapeutics Inc,Translational Oncology,"Dr.&nbsp;Rastelli has held multiple preclinical and clinical project leadership positions. He served as Head of Translational Oncology at Boston Strategics Corporation, a pharmaceutical research and"
0001720893,Bioxcel Therapeutics Inc,Boehringer Ingelheim,"served as Senior Vice President, Research and Development, for Boehringer Ingelheim Pharmaceuticals,&nbsp;Inc. overseeing global research programs (immunology, inflammation, cardiovascular diseases"
