cik,company_name,pubmed_pre_ipo_count,pubmed_query_method,pubmed_authors_queried
0001610618,"Cidara Therapeutics, Inc.",4,affiliation,0
0001720580,"resTORbio, Inc.",1,affiliation,0
0001631650,"Aimmune Therapeutics, Inc.",0,affiliation,0
0001708493,"Harpoon Therapeutics, Inc.",3,affiliation,0
0001618561,Nexvet Biopharma plc,0,affiliation,0
0001694187,"Neon Therapeutics, Inc.",64,affiliation,0
0001679082,Myovant Sciences Ltd.,0,affiliation,0
0001692830,"Satsuma Pharmaceuticals, Inc.",24,affiliation,0
0001293971,"bluebird bio, Inc.",0,affiliation,0
0001566044,"Menlo Therapeutics, Inc.",0,author_disambiguated,5
0001720725,"Oyster Point Pharma, Inc.",0,affiliation,0
0001751299,"Kaleido Biosciences, Inc.",5,affiliation,0
0001697532,Applied Therapeutics Inc.,0,author_disambiguated,5
0001592288,"Dimension Therapeutics, Inc.",73,affiliation,0
0001661998,"Homology Medicines, Inc.",0,affiliation,0
0001744659,"Akero Therapeutics, Inc.",3,affiliation,0
0001624658,"Allena Pharmaceuticals, Inc.",14,affiliation,0
0001628738,"Audentes Therapeutics, Inc.",3,affiliation,0
0001662907,"IASO BioMed, Inc.",0,affiliation,0
0001516479,"Insys Therapeutics, Inc.",3,affiliation,0
0001771917,"Karuna Therapeutics, Inc.",80,affiliation,0
0001690585,"Magenta Therapeutics, Inc.",242,affiliation,0
0001467154,"Novan, Inc.",2,affiliation,0
0001472091,PDS Biotechnology Corp,0,affiliation,0
0001497504,"Dipexium Pharmaceuticals, LLC",0,affiliation,0
0001461993,"CEMPRA, INC.",8,affiliation,0
0001491576,"TESARO, Inc.",1,affiliation,0
0001478121,Pfenex Inc.,5,affiliation,0
0001478069,CONTRAFECT Corp,3,affiliation,0
0001476963,"HEAT BIOLOGICS, INC.",0,affiliation,0
0001496671,"Calithera Biosciences, Inc.",2,affiliation,0
0001466301,"Clovis Oncology, Inc.",0,affiliation,0
0001494650,"OptiNose, Inc.",14,affiliation,0
0001479290,"Revance Therapeutics, Inc.",4,affiliation,0
0001477598,"Omthera Pharmaceuticals, Inc.",2,affiliation,0
0001493566,"Otonomy, Inc.",6,affiliation,0
0001501697,"Arsanis, Inc.",20,affiliation,0
0001496323,"IGM Biosciences, Inc.",772,affiliation,0
0001485003,"Eleven Biotherapeutics, Inc.",11,affiliation,0
0001481512,"Ra Pharmaceuticals, Inc.",0,no_query,0
0001463361,"Unity Biotechnology, Inc.",0,affiliation,0
0001463729,"Receptos, Inc.",1,affiliation,0
0001477845,"Annovis Bio, Inc.",0,affiliation,0
0001471002,"Cancer Prevention Pharmaceuticals, Inc.",0,affiliation,0
0001467652,"Neos Therapeutics, Inc.",9,affiliation,0
0001459266,"ZS Pharma, Inc.",0,no_query,0
0001269021,PORTOLA PHARMACEUTICALS INC,104,affiliation,0
0001401040,DiaMedica Therapeutics Inc.,11,affiliation,0
0001442835,KOLLTAN PHARMACEUTICALS INC,3,affiliation,0
0001280600,ACCELERON PHARMA INC,15,affiliation,0
0001404281,"Novus Therapeutics, Inc.",38,affiliation,0
0001348649,"CoLucid Pharmaceuticals, Inc.",0,affiliation,0
0001274792,MERRIMACK PHARMACEUTICALS INC,77,affiliation,0
0001404644,"AQUINOX PHARMACEUTICALS, INC",2,affiliation,0
0001305253,Celladon Corp,3,affiliation,0
0001437786,Immune Design Corp.,0,affiliation,0
0001435049,"ADURO BIOTECH, INC.",0,affiliation,0
0001311596,Regado Biosciences Inc,2,affiliation,0
0001445283,"PROTEOSTASIS THERAPEUTICS, INC.",16,affiliation,0
0001372514,EYEGATE PHARMACEUTICALS INC,3,affiliation,0
0001453687,SELECTA BIOSCIENCES INC,5,affiliation,0
0001442836,"Mersana Therapeutics, Inc.",4,affiliation,0
0001169245,PhaseBio Pharmaceuticals Inc,1,affiliation,0
0001426375,"Visterra, Inc.",7,affiliation,0
0001300699,"Athenex, Inc.",3,affiliation,0
0001429560,TREVENA INC,15,affiliation,0
0001454189,"Auspex Pharmaceuticals, Inc.",0,affiliation,0
0001164994,"Rib-X Pharmaceuticals, Inc.",16,affiliation,0
0001454789,CATABASIS PHARMACEUTICALS INC,1,affiliation,0
0001400482,Acucela Inc,8,affiliation,0
0001253689,GLYCOMIMETICS INC,4,affiliation,0
0001348911,"Carbylan Therapeutics, Inc.",1,affiliation,0
0001399529,Dicerna Pharmaceuticals Inc,3,affiliation,0
0001434647,"KEMPHARM, INC",0,affiliation,0
0001361248,TETRALOGIC PHARMACEUTICALS CORP,4,affiliation,0
0001245104,GLOBEIMMUNE INC,8,affiliation,0
0001401914,Cerulean Pharma Inc.,5,affiliation,0
0001264587,STEMLINE THERAPEUTICS INC,3,affiliation,0
0001386858,HYPERION THERAPEUTICS INC,19,affiliation,0
0001385228,"BIND Therapeutics, Inc",8,affiliation,0
0001429386,"PHASERX, INC.",1,affiliation,0
0001175505,FIVE PRIME THERAPEUTICS INC,0,affiliation,0
0001383701,Conatus Pharmaceuticals Inc,1,affiliation,0
0001359931,PROTEON THERAPEUTICS INC,4,affiliation,0
0001374261,Virobay Inc,2,affiliation,0
0001428369,THAR PHARMACEUTICALS INC,10,affiliation,0
0001339970,aTYR PHARMA INC,5,affiliation,0
0001326110,"Conkwest, Inc.",3,affiliation,0
0001280776,VITAL THERAPIES INC,0,affiliation,0
0001281895,INOTEK PHARMACEUTICALS CORP,79,affiliation,0
0001436304,KYTHERA BIOPHARMACEUTICALS INC,0,affiliation,0
0001367920,"CONCERT PHARMACEUTICALS, INC.",10,affiliation,0
0001337553,AERIE PHARMACEUTICALS INC,2,affiliation,0
0001409690,"Tobira Therapeutics, Inc.",3,affiliation,0
0001420565,AILERON THERAPEUTICS INC,7,affiliation,0
0001419041,Tocagen Inc,19,affiliation,0
0001457612,"GENOCEA BIOSCIENCES, INC.",4,affiliation,0
0001373707,TETRAPHASE PHARMACEUTICALS INC,9,affiliation,0
0001264647,AMBRX INC,8,affiliation,0
0000827871,"EAGLE PHARMACEUTICALS, INC.",240,affiliation,0
0001338095,"NephroGenex, Inc.",0,affiliation,0
0001426332,NGM BIOPHARMACEUTICALS INC,0,affiliation,0
0001339469,"CHIASMA, INC",5,affiliation,0
0001157602,"Vitae Pharmaceuticals, Inc",73,affiliation,0
0001130598,"Onconova Therapeutics, Inc.",3,affiliation,0
0001117480,CHIMERIX INC,7,affiliation,0
0001301501,Achaogen Inc,10,affiliation,0
0001403708,Evoke Pharma Inc,2,affiliation,0
0001037643,PARATEK PHARMACEUTICALS INC,18,affiliation,0
0001434418,CONSTELLATION PHARMACEUTICALS INC,155,affiliation,0
0001261249,AGILE THERAPEUTICS INC,18,affiliation,0
0001346830,"Cara Therapeutics, Inc.",281,affiliation,0
0001410939,Ophthotech Corp.,1,affiliation,0
0001416792,Relypsa Inc,1,affiliation,0
0001390085,ANTERIOS INC,0,affiliation,0
0001290149,ProNAi Therapeutics Inc,7,affiliation,0
0001423824,ALDER BIOPHARMACEUTICALS INC,0,affiliation,0
0001358403,"BELLICUM PHARMACEUTICALS, INC",7,affiliation,0
0001267813,MARINUS PHARMACEUTICALS INC,32,affiliation,0
0001302573,OncoMed Pharmaceuticals Inc,34,affiliation,0
0001273636,APPLIED GENETIC TECHNOLOGIES CORP,0,affiliation,0
0001328143,Adamas Pharmaceuticals Inc,6,affiliation,0
0001291520,PLX PHARMA INC.,1,affiliation,0
0001419600,Flexion Therapeutics Inc,1,affiliation,0
0001374690,"ZAFGEN, INC.",4,affiliation,0
0001398733,Aquestive Therapeutics Inc,1,affiliation,0
0001297184,Amphastar Pharmaceuticals Inc,1,affiliation,0
0001070081,PTC Therapeutics Inc,82,affiliation,0
0001488039,Atossa Genetics Inc,0,affiliation,0
