company_name,cik,bucket,latest_periodic_filing,deregistration_date,form25_date
"Shuttle Pharmaceuticals, Inc.",1685462,stalled_filing,2017-11-20,,
"PAR PHARMACEUTICAL HOLDINGS, INC.",1559149,stalled_filing,,,
"Turning Point Therapeutics, Inc.",1595893,deregistered_or_delisted,2022-08-08,2022-08-29,2022-08-17
Iterum Therapeutics Ltd,1659323,deregistered_or_delisted,2025-11-14,,2026-06-23
Prevail Therapeutics Inc.,1714798,deregistered_or_delisted,2020-11-13,2021-02-01,2021-01-22
Axcella Health Inc.,1633070,deregistered_or_delisted,2023-08-03,,2024-02-15
"Zynerba Pharmaceuticals, Inc.",1621443,deregistered_or_delisted,2023-08-14,2023-10-19,2023-10-11
"Odonate Therapeutics, LLC",1717452,deregistered_or_delisted,2021-11-10,2022-02-07,2022-01-25
"Sienna Biopharmaceuticals, Inc.",1656328,deregistered_or_delisted,2019-11-12,2019-12-11,2020-02-05
4D Molecular Therapeutics Inc,1650648,actively_filing,2026-05-07,,
"Atreca, Inc.",1532346,deregistered_or_delisted,2023-11-14,2024-04-01,2024-03-20
"BeiGene, Ltd.",1651308,actively_filing,2026-05-06,,
"Spring Bank Pharmaceuticals, Inc.",1566373,deregistered_or_delisted,2022-11-10,2023-03-20,2023-03-09
"Adgero Biopharmaceuticals Holdings, Inc.",1657598,stalled_filing,,,
Phio Pharmaceuticals Corp.,1533040,actively_filing,2026-05-07,,2021-12-21
"TYME TECHNOLOGIES, INC.",1537917,deregistered_or_delisted,2022-08-09,2022-09-30,2022-09-16
"SpringWorks Therapeutics, Inc.",1773427,deregistered_or_delisted,2025-05-09,2025-07-11,2025-07-01
Urovant Sciences Ltd.,1740547,deregistered_or_delisted,2021-02-12,2021-04-08,2021-03-29
"Outlook Therapeutics, Inc.",1649989,actively_filing,2026-05-15,,2016-06-13
"SANCILIO PHARMACEUTICALS COMPANY, INC.",1641908,stalled_filing,,,
"Matinas BioPharma Holdings, Inc.",1582554,actively_filing,2026-05-08,,
Scopus Biopharma Inc.,1772028,deregistered_or_delisted,2023-08-11,2024-01-19,2023-03-03
Regen BioPharma Inc,1589150,actively_filing,2026-05-14,,
Celsus Therapeutics Plc.,1541157,actively_filing,2026-05-19,,
BiomX Inc.,1739174,actively_filing,2026-05-20,2024-10-31,2023-06-12
Zomedica Pharmaceuticals Corp.,1684144,actively_filing,2026-05-06,,2025-03-13
"Bellerophon Therapeutics, Inc.",1600132,deregistered_or_delisted,2023-11-14,2024-03-06,2023-12-27
